Stop Trips
~~~~~~~~~~

SignUp:       MARCH 2015
Service:      1
Line:         306
Exception:    Off
Printed:      02-16-2015  1:27p

Direction:    Midtown

Pattern  INT  VAL  MMS 10                          Mem40st                                          46th/Min                                                          Gntt41st                           gar61          Gntt71st          73 112  71/109          51  129                                                  41stGntt                                                  46th Min                                                                  Mem41st          MMS 10  
                     6658    5802    5803    5978     5806    5417    5411    5414    5416    5409      4129    5821    5819    5818    5396    5362    5364    5366      5746    5747    5729    6688    4265    6599      6238    6425    4123    6343    6685     3164    5676    5678    5369    5368    5367    5360      5388    5365    5363    5361    6692    6693    5820      4129    5418    5415    5413    5412    5410    6689    6690    6691     5805    5778    6658  
~~~~~~~  ~~~  ~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~  ~~~~~~~  ~~~~~~  ~~~~~~  

     01    I    V   6:30a   6:30a   6:31a   6:31a    6:33a   6:35a   6:36a   6:37a   6:38a   6:39a     6:40a   6:40a   6:40a   6:41a   6:42a   6:42a   6:42a   6:44a     6:45a   6:45a   6:45a   6:46a   6:50a   6:56a     6:56a   6:57a   6:57a   6:59a   7:02a    7:10a   7:10a   7:10a   7:12a   7:13a   7:14a   7:14a     7:15a   7:15a   7:17a   7:17a   7:17a   7:18a   7:19a     7:20a   7:20a   7:21a   7:22a   7:24a   7:24a   7:25a   7:26a   7:27a    7:28a   7:30a   7:33a  
     01    I    V   7:45a   7:45a   7:46a   7:46a    7:48a   7:50a   7:51a   7:52a   7:53a   7:54a     7:55a   7:55a   7:55a   7:56a   7:57a   7:57a   7:57a   7:59a     8:00a   8:00a   8:00a   8:01a   8:05a   8:11a     8:11a   8:12a   8:12a   8:14a   8:17a    8:25a   8:25a   8:25a   8:27a   8:28a   8:29a   8:29a     8:30a   8:30a   8:32a   8:32a   8:32a   8:33a   8:34a     8:35a   8:35a   8:36a   8:37a   8:39a   8:39a   8:40a   8:41a   8:42a    8:43a   8:45a   8:48a  
     01    I    V   9:00a   9:00a   9:01a   9:01a    9:03a   9:05a   9:06a   9:07a   9:08a   9:09a     9:10a   9:10a   9:10a   9:11a   9:12a   9:12a   9:12a   9:14a     9:15a   9:15a   9:15a   9:16a   9:20a   9:26a     9:26a   9:27a   9:27a   9:29a   9:32a    9:40a   9:40a   9:40a   9:42a   9:43a   9:44a   9:44a     9:45a   9:45a   9:47a   9:47a   9:47a   9:48a   9:49a     9:50a   9:50a   9:51a   9:52a   9:54a   9:54a   9:55a   9:56a   9:57a    9:58a  10:00a  10:03a  
     01    I    V  10:15a  10:15a  10:16a  10:16a   10:18a  10:20a  10:21a  10:22a  10:23a  10:24a    10:25a  10:25a  10:25a  10:26a  10:27a  10:27a  10:27a  10:29a    10:30a  10:30a  10:30a  10:31a  10:35a  10:41a    10:41a  10:42a  10:42a  10:44a  10:47a   10:55a  10:55a  10:55a  10:57a  10:58a  10:59a  10:59a    11:00a  11:00a  11:02a  11:02a  11:02a  11:03a  11:04a    11:05a  11:05a  11:06a  11:07a  11:09a  11:09a  11:10a  11:11a  11:12a   11:13a  11:15a  11:18a  
     01    I    V  11:30a  11:30a  11:31a  11:31a   11:33a  11:35a  11:36a  11:37a  11:38a  11:39a    11:40a  11:40a  11:40a  11:41a  11:42a  11:42a  11:42a  11:44a    11:45a  11:45a  11:45a  11:46a  11:50a  11:56a    11:56a  11:57a  11:57a  11:59a  12:02p   12:10p  12:10p  12:10p  12:12p  12:13p  12:14p  12:14p    12:15p  12:15p  12:17p  12:17p  12:17p  12:18p  12:19p    12:20p  12:20p  12:21p  12:22p  12:24p  12:24p  12:25p  12:26p  12:27p   12:28p  12:30p  12:33p  
     01    I    V  12:45p  12:45p  12:46p  12:46p   12:48p  12:50p  12:51p  12:52p  12:53p  12:54p    12:55p  12:55p  12:55p  12:56p  12:57p  12:57p  12:57p  12:59p     1:00p   1:00p   1:00p   1:01p   1:05p   1:11p     1:11p   1:12p   1:12p   1:14p   1:17p    1:25p   1:25p   1:25p   1:27p   1:28p   1:29p   1:29p     1:30p   1:30p   1:32p   1:32p   1:32p   1:33p   1:34p     1:35p   1:35p   1:36p   1:37p   1:39p   1:39p   1:40p   1:41p   1:42p    1:43p   1:45p   1:48p  
     01    I    V   2:00p   2:00p   2:01p   2:01p    2:03p   2:05p   2:06p   2:07p   2:08p   2:09p     2:10p   2:10p   2:10p   2:11p   2:12p   2:12p   2:12p   2:14p     2:15p   2:15p   2:15p   2:16p   2:20p   2:26p     2:26p   2:27p   2:27p   2:29p   2:32p    2:40p   2:40p   2:40p   2:42p   2:43p   2:44p   2:44p     2:45p   2:45p   2:47p   2:47p   2:47p   2:48p   2:49p     2:50p   2:50p   2:51p   2:52p   2:54p   2:54p   2:55p   2:56p   2:57p    2:58p   3:00p   3:03p  
     01    I    V   3:15p   3:15p   3:16p   3:16p    3:18p   3:20p   3:21p   3:22p   3:23p   3:24p     3:25p   3:25p   3:25p   3:26p   3:27p   3:27p   3:27p   3:29p     3:30p   3:30p   3:30p   3:31p   3:35p   3:41p     3:41p   3:42p   3:42p   3:44p   3:47p    3:55p   3:55p   3:55p   3:57p   3:58p   3:59p   3:59p     4:00p   4:00p   4:02p   4:02p   4:02p   4:03p   4:04p     4:05p   4:05p   4:06p   4:07p   4:09p   4:09p   4:10p   4:11p   4:12p    4:13p   4:15p   4:18p  
     01    I    V   4:30p   4:30p   4:31p   4:31p    4:33p   4:35p   4:36p   4:37p   4:38p   4:39p     4:40p   4:40p   4:40p   4:41p   4:42p   4:42p   4:42p   4:44p     4:45p   4:45p   4:45p   4:46p   4:50p   4:56p     4:56p   4:57p   4:57p   4:59p   5:02p    5:10p   5:10p   5:10p   5:12p   5:13p   5:14p   5:14p     5:15p   5:15p   5:17p   5:17p   5:17p   5:18p   5:19p     5:20p   5:20p   5:21p   5:22p   5:24p   5:24p   5:25p   5:26p   5:27p    5:28p   5:30p   5:33p  
     01    I    V   5:45p   5:45p   5:46p   5:46p    5:48p   5:50p   5:51p   5:52p   5:53p   5:54p     5:55p   5:55p   5:55p   5:56p   5:57p   5:57p   5:57p   5:59p     6:00p   6:00p   6:00p   6:01p   6:05p   6:11p     6:11p   6:12p   6:12p   6:14p   6:17p    6:25p   6:25p   6:25p   6:27p   6:28p   6:29p   6:29p     6:30p   6:30p   6:32p   6:32p   6:32p   6:33p   6:34p     6:35p   6:35p   6:36p   6:37p   6:39p   6:39p   6:40p   6:41p   6:42p    6:43p   6:45p   6:48p  


